Name,Description,Flags,Value,Unit
(lvtn.1a),Min width of lvtn,,0.380,µm
(lvtn.2),Min space lvtn to lvtn,,0.380,µm
(lvtn.3a),Min spacing of lvtn to gate. Rule exempted inside UHVI.,P,0.180,µm
(lvtn.3b),Min spacing of lvtn to pfet along the S/D direction,P,0.235,µm
(lvtn.4b),Min enclosure of gate by lvtn. Rule exempted inside UHVI.,P,0.180,µm
(lvtn.9),"Min spacing, no overlap, between lvtn and hvtp",,0.380,µm
(lvtn.10),Min enclosure of lvtn by (nwell not overlapping Var_channel) (exclude coincident edges),,0.380,µm
(lvtn.12),Min spacing between lvtn and (nwell inside :drc_tag:`areaid.ce`),,0.380,µm
(lvtn.13),Min area of lvtn,,0.265,µm²
(lvtn.14),Min area of lvtn Holes,,0.265,µm²
