,Deep N Well,N Well,Diff,Tap,Poly,Li1,Capm,Met1,Met2,Met3,Met4,Met5,rdl,,,,
Deep N Well,N/A,,,,,,,,,,,,,,,,
N Well,Over,N/A,,,,,,,,,,,,,,,
Diff,X,X,N/A,,,,,,,,,,,,,,
Tap,X,Over,X,N/A,,,,,,,,,,,,,
Poly,X,X,X,X,N/A,,,,,,,,,,,,
Li1,X,X,Licon1,Licon1,Licon1 AND Npc,N/A,,,,,,,,,,,
Capm,X,X,X,X,X,X,N/A,,,,,,,,,,
Met1,X,X,X,X,X,Mcon,X,N/A,,,,,,,,,
Met2,X,X,X,X,X,X,X,Via,N/A,,,,,,,,
Met3,X,X,X,X,X,X,Via2,X,Via2,N/A,,,,,,,
Met4,X,X,X,X,X,X,X,X,X,Via3,N/A,,,,,,
Met5,X,X,X,X,X,X,X,X,X,X,Via4,N/A,,,,,
rdl,X,X,X,X,X,X,X,X,X,X,X,(pad AND pmm) for s8pir/s8pr2-10r flows [#f1]_ ,N/A,,,,
bump,X,X,X,X,X,X,X,X,X,X,X,X,pi2 AND ubm,,,,
