Category              	Name                                        	Used?	Required schematic elements	diff.dg 	diff.rs	diff.ct	cfom.wp	tap.dg  	dnwell:dg	pwbm.dg 	pwdem:dg	hvtr.dg	nwell.dg	hvtp:dg 	lvtn:dg 	pwell.rs	pwell.ct	ncm.dg [#f2]_	tunm:dg	hvi:dg	rpm:dg	poly.dg	poly.rs	poly.ct	poly:ml	ldntm:dg	npc:dg	nsdm.dg 	psdm.dg	licon.dg	li1.dg	li.rs	li.ct	capm:dg	capm_2t.dg	metX.dg	metX.fe	met1:dg	met2:dg	met3:dg  	met4.dg  	met5.dg  	rdl.dg   	inductor:dg	capacitor.dg	areaid.le	areaid.en	pnp.dg	npn.dg	areaid.st	areaid.de	areaid.re	areaid.po	areaid:ce	areaid.ed	areaid.ext	UHVI     	areaid.low_vt	Drawn Route / Comments       	Layout Model
RESISTOR              	n diff resistor                             	X    	res resn                   	D       	D	D	+	-       	+        	-       	+       	-	-       	-       	-       	+       	+       	-            	+	-	+	-	-	-	+	+       	+	D       	-	+       	+	+	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	+        	          	-        	-            	                             	mrdn
RESISTOR              	HV n diff resistor                          	X    	res resnhv                 	D       	D	D	+	-       	+        	-       	+       	-	-       	-       	-       	+       	+       	-            	+	D	+	-	-	-	+	+       	+	D       	-	+       	+	+	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	+        	          	-        	-            	                             	mrdn_hv
RESISTOR              	p diff resistor                             	X    	res resp                   	D       	D	D	+	-       	+        	-       	+       	-	D       	-       	-       	+       	+       	C            	+	-	+	-	-	-	+	+       	+	-       	D	+       	+	+	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	+        	          	-        	-            	                             	mrdp
RESISTOR              	p diff resistor NV                          	     	res resp                   	D       	D	D	+	-       	+        	-       	+       	-	D       	-       	-       	+       	+       	C            	+	-	+	-	-	-	+	+       	+	-       	D	+       	+	+	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	+        	          	-        	-            	                             	mrdp
RESISTOR              	HV p diff resistor                          	X    	res resphv                 	D       	D	D	+	-       	+        	-       	+       	-	D       	-       	-       	+       	+       	-            	+	D	+	-	-	-	+	+       	+	-       	D	+       	+	+	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	+        	          	-        	-            	                             	mrdp_hv
RESISTOR              	Isolated Pwell resistor                     	X    	respw                      	+       	+	+	+	D       	D        	-       	-       	-	-       	+       	+       	D       	D       	+            	+	+	+	-	-	-	+	+       	+	+       	+	+       	+	+		+	+         	+	+	+	+	+        	+        	+        	+        	+          	-           	-        	-        	+	+	+        	+        	+        	-        	-        	+        	          	-        	-            	                             	xpwres
RESISTOR              	n+ poly resistor                            	X    	res                        	-       	-	-	+	-       	+        	-       	+       	-	+       	-       	-       	+       	+       	-            	+	+	-	D	D	D	+	+       	-	+       	+	+       	+	+	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	- [#f20]_   	-        	-        	-	-	+        	-        	+        	-        	-        	+        	          	-        	-            	                             	mrp1
RESISTOR              	p+ poly resistor                            	X    	res3                       	-       	-	-	+	-       	+        	-       	+       	-	+       	-       	-       	+       	+       	+            	+	+	D	D	D	D	+	+       	D	-       	D	+       	+	+	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	+        	          	-        	-            	                             	xhrpoly_*
RESISTOR              	li resistor                                 	X    	res                        	+       	+	+	+	+       	+        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	-       	D	D	D	+	+         	+	+	+	+	+        	+        	+        	+        	+          	-           	-        	-        	+	+	+        	+        	+        	-        	-        	+        	          	-        	-            	                             	mrl1
RESISTOR              	metal fuse                                  	X    	mrmX                       	-       	-	-	+	-       	+        	-       	+       	-	-       	-       	-       	+       	+       	-            		-		-	-	-	+	+       	+	+       	+	-       	-	-	-	+	+         	D	D	+	+	+        	+        	+        	+        	-          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	-        	          	-        	-            	metX AND metX.fe             	mrmX
32 A CMOS             	nmos 1.8V                                   	X    	nfet                       	D       	-	-	+	-       	+        	-       	-       	-	-       	-       	-       	+       	+       	-            	-	-	-	D	-	-	+	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	+        	+        	          	-        	-            	                             	nshort
32 A CMOS             	pmos 1.8V                                   	X    	pfet                       	D       	-	-	+	-       	+        	-       	-       	-	D       	C       	-       	+       	+       	C            	-	-	-	D	-	-	+	-       	-	-       	D	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	+           	-        	-        	-	-	+        	-        	+        	-        	-        	+        	          	-        	-            	                             	pshort
32 A CMOS             	Low Vt pmos 1.8V 32A                        	X    	pfet                       	D       	-	-	+	-       	+        	-       	-       	-	D       	-       	D       	+       	+       	-            	-	-	-	D	-	-	+	-       	-	-       	D	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	+           	-        	-        	-	-	+        	-        	+        	-        	-        	-        	          	-        	-            	                             	plowvt
32 A CMOS             	High Vt pmos 1.8V 32A [#f10]_               	X    	pfet                       	D       	-	-	+	-       	+        	-       	-       	-	D       	D       	C       	+       	+       	+            	-	-	-	D	-	-	+	-       	-	-       	D	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	+           	-        	-        	-	-	+        	-        	+        	-        	+        	-        	          	-        	-            	                             	phighvt
32 A CMOS             	Low Vt nmos 1.8V 32A                        	X    	nfet                       	D       	-	-	+	-       	+        	-       	-       	-	-       	-       	D       	+       	+       	-            	-	-	-	D	-	-	+	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	-        	          	-        	-            	                             	nlowvt
32 A CMOS             	nmos_core [#f5]_                            	X    	nfet                       	D       	-	-	+	-       	+        	-       	-       	-	-       	-       	-       	+       	+       	-            	-	-	-	D	-	-	D	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	D        	-        	          	-        	-            	                             	npass npd
32 A CMOS             	nmos_core NV [#f5]_                         	     	nfet                       	D       	-	-	+	-       	+        	-       	-       	-	-       	-       	-       	+       	+       	D            	-	-	-	D	-	-	D	D       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	D        	-        	          	-        	-            	                             	npassll npdll
32 A CMOS             	pmos_core [#f5]_                            	X    	pfet                       	D       	-	-	+	-       	+        	-       	-       	-	D       	D       	C       	+       	+       	D            	-	-	-	D	-	-	D	-       	-	-       	D	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	D        	-        	          	-        	-            	                             	ppu
32 A CMOS             	pmos_core NV [#f5]_                         	     	pfet                       	D       	-	-	+	-       	+        	-       	-       	-	D       	D       	C       	+       	+       	-            	-	-	-	D	-	-	D	-       	-	-       	D	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	D        	-        	          	-        	-            	                             	ppull
32 A CMOS             	Low Vt nmos_core [#f5]_                     	X    	nfet                       	D       	-	-	+	-       	+        	-       	-       	-	-       	-       	D       	+       	+       	-            	-	-	-	D	-	-	D	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	D        	-        	          	-        	-            	                             	nlvtpass
32 A CMOS             	Low Vt Varactor                             	X    	capbn_b                    	-       	-	-	+	D       	+        	-       	-       	-	D       	-       	C       	+       	+       	-            	-	-	-	D	-	-	+	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	-        	          	-        	-            	                             	xcnwvc
