Name,Defining algorithm,,,Used in …
AR_met2_A,Net Area Ratio of met2 not connected to via  and of via2 >=0.05  [Equation: (AREA(via2))/(2 * AREA(met2NotConnVia) + PERIMETER(met2NotConnVia) * 0.35)],,,Rules
AR_met2_B,"Net Area Ratio of met2GroundOrFloat, via, and via2 <=0.032 [Equation: (AREA(via2))/(2 * AREA(met2GroundOrFloatVia) + PERIMETER(met2GroundOrFloatVia) * 0.35)]",,,Rules
bondPad,pad:dg OUTSIDE areaid:ft,,,Rules
bottom_plate,(capm:dg AND met2:dg) sized by capm.3; Exclude all capm sharing same metal2 plate,,,Rules
Capacitor,Capm enclosing at least one via2,,,Rules
Chip_extent,Holes (areaid:sl ) OR areaid.sl,,,Rules
Diecut_pmm,areaid.dt NOT (cfom.wp OR cp1m.wp OR cmm1.wp OR cmm2.wp),,,Rules
drain_diffusion,(diff NOT poly in nwell or  pwell) not abutting tap in the same well or abutting tap in the opposite well,,,Rules
dummy_capacitor,Capm not overlapping via2,,,Rules
dummy_poly,"poly overlapping text ""dummy_poly"" (written using text.dg)",,,Rules
ESD_nwell_tap,"n+ tap coincident with nwell such that n+ tap and nwell are completely surrounded by and abutting n+ diff on all edges, within areaid:ed   ",,,Rules
fomDmy_keepout_1, (diff.dg OR tap.dg OR poly.dg OR pwell resistor OR pad OR cfom.dg OR cfom.mk OR PhotoArray OR cp1m.mk),,,Rules
floating_met*,met*.dg not connected to diffusion or tap through met(*+1) or met(*-1) and their respecitve vias and contacts,,,Rules
fom_waffles,"fom.mk with dimensions (um x um): 0.5 x 0.5, 1.5 x 1.5, 2.5 x 2.5 and 4.08 x 4.08",,,Rules
gated_npn,cell name:  s8rf_npn_1x1_2p0_HV,,,Rules
huge_metX,Metal X geometry wider and longer than 3.000um,,,Rules
hugePad,pad.mk with width > 100um,,,Rules
iso_pwell,(NOT nwell) AND dnwell,,,Rules
isolated_tap,tap that does not abut diff,,,Rules
laser_target,cell *lazX_* and *lazY_* OUTSIDE areaid:ft,,,Rules
LVnwell,nwell NOT hvi,,,Rules
LVTN_Gate,Gate overlapping  lvtn,,,Rules
met2GroundOrFloat,met2 connected to ptap or met2 not connected to difftap\n,,,Rules
met2GroundOrFloatVia,met2GroundOrFloat interacting with via2 >2,,,Rules
N+_diff,Diff NOT  Nwell,,,Rules
N+_tap,Tap AND Nwell,,,Rules
nsdmHoles,Hole( nsdm ),,,Rules
NSM_keepout,nsm.dg OR nsm.mk,,,Rules
nwell_all,nwell OR extension of cnwm beyond  nwell edge straddling de_nFet_source by cnwm.3f (45 degree edges are retained for the NVHV device nwell);  Rule cnwm.3f applies only to GSMC flows,,,Rules
P+_diff,Diff AND Nwell,,,Rules
P+_tap,Tap NOT  Nwell,,,Rules
Pattern_density,(diff_tap area) / PD window (as specified in the rule section),,,Rules
photoDiode,deep nwell overlapping areaid.po. Die+frame utility will use the mask data of dnwell in the implementation of this definition,,,Rules
